2026-03-08 19:36:12,547 | INFO | __main__ | Bot is starting...
2026-03-08 19:36:12,970 | INFO | __main__ | Commands registered successfully
2026-03-08 19:36:12,971 | INFO | aiogram.dispatcher | Start polling
2026-03-08 19:36:13,021 | INFO | aiogram.dispatcher | Run polling for bot @super_goi_bot id=8207144654 - 'GamesBot'
2026-03-08 19:36:22,936 | INFO | __main__ | User 886635512 used /start
2026-03-08 19:36:23,108 | INFO | aiogram.event | Update id=702991381 is handled. Duration 172 ms by bot id=8207144654
2026-03-08 20:00:50,433 | INFO | __main__ | Bot is starting...
2026-03-08 20:00:50,833 | INFO | __main__ | Commands registered successfully
2026-03-08 20:00:50,834 | INFO | aiogram.dispatcher | Start polling
2026-03-08 20:00:50,880 | INFO | aiogram.dispatcher | Run polling for bot @super_goi_bot id=8207144654 - 'GamesBot'
2026-03-08 20:01:32,627 | INFO | __main__ | User 886635512 requested clear games
2026-03-08 20:01:32,793 | INFO | aiogram.event | Update id=702991382 is handled. Duration 165 ms by bot id=8207144654
2026-03-08 20:01:35,114 | INFO | __main__ | User 886635512 canceled clearing games
2026-03-08 20:01:35,357 | INFO | aiogram.event | Update id=702991383 is handled. Duration 243 ms by bot id=8207144654
2026-03-09 18:07:23,609 | INFO | __main__ | Bot is starting...
2026-03-09 18:07:24,631 | INFO | __main__ | Commands registered successfully
2026-03-09 18:07:24,631 | INFO | aiogram.dispatcher | Start polling
2026-03-09 18:07:24,684 | INFO | aiogram.dispatcher | Run polling for bot @super_goi_bot id=8207144654 - 'GamesBot'
2026-03-09 18:07:32,958 | INFO | __main__ | User 886635512 used /start
2026-03-09 18:07:33,149 | INFO | aiogram.event | Update id=702991384 is handled. Duration 193 ms by bot id=8207144654
2026-03-09 18:07:57,555 | INFO | __main__ | User 886635512 requested full game list
2026-03-09 18:07:57,555 | INFO | data | Reading games for user 886635512
2026-03-09 18:07:57,555 | INFO | data | Reading all data from file
2026-03-09 18:07:57,557 | INFO | data | Data successfully loaded
2026-03-09 18:07:57,557 | INFO | data | User 886635512 has 3 games
2026-03-09 18:07:57,692 | INFO | aiogram.event | Update id=702991385 is handled. Duration 137 ms by bot id=8207144654
2026-03-09 18:08:00,258 | INFO | __main__ | User 886635512 started adding a game
2026-03-09 18:08:00,329 | INFO | aiogram.event | Update id=702991386 is handled. Duration 70 ms by bot id=8207144654
2026-03-09 18:08:06,254 | INFO | __main__ | Game name received: laslld
2026-03-09 18:08:06,375 | INFO | aiogram.event | Update id=702991387 is handled. Duration 121 ms by bot id=8207144654
2026-03-09 18:08:09,018 | INFO | __main__ | Game genre received: ppa
2026-03-09 18:08:09,078 | INFO | aiogram.event | Update id=702991388 is handled. Duration 60 ms by bot id=8207144654
2026-03-09 18:08:12,113 | INFO | __main__ | Release year received: opo
2026-03-09 18:08:12,114 | INFO | data | Adding game for user 886635512: laslld
2026-03-09 18:08:12,115 | INFO | data | Reading all data from file
2026-03-09 18:08:12,116 | INFO | data | Data successfully loaded
2026-03-09 18:08:12,118 | INFO | data | Game 'laslld' successfully added for user 886635512
2026-03-09 18:08:12,118 | INFO | __main__ | Game added for user 886635512: laslld
2026-03-09 18:08:12,279 | INFO | aiogram.event | Update id=702991389 is handled. Duration 166 ms by bot id=8207144654
